like,for,com,sum,date,content 
93,35,262,390,2018-09-14,#热麦新品#  取材地道四川名菜，🌶麻婆豆腐包&🍜担担面包，全新川味包包，9月15日麻辣上桌。（👀茶茶再剧个透：川味来了，成都首店也不远辣） 你想先吃哪个呢？😊评论里抽几个宝宝尝鲜
202,21,219,442,2018-09-13,👀听说，你们也想要茶茶的同款透明包包？ 已经拿到的来举个爪 🙋🏻♂️
92,7,133,232,2018-09-12,海雅缤纷城5岁啦，携手艺术家张占占先生特别打造的全新视觉形象也将出现在喜茶的贴纸&杯套上。 9.13-9.17周年庆期间，记得来深圳海雅缤纷城边喝茶边扫货鸭！ （ 评论揪几个宝宝请喝茶）
119,25,284,428,2018-09-11,#冷萃知秋#  一瓶莫兰迪色的喜茶 ，喝完想起我的白月光富察皇后了 🍂你们最爱哪一款评论抽几个朋友送🍵
162,215,209,586,2018-09-09,#冷萃知秋#  🍁把秋天的清润，浓缩后封存，新品「冷萃知秋」，9月10日，北上广深（除番禺）清润上市。⛰甄选产自凤凰乌崇山的「知秋」  低温持续冷萃八小时，无糖低卡，缓慢充分释放出茶之芬芳。关+转，抽5位盆友品尝🍵
58,1,28,87,2018-09-07,听说你们的波波小姐最近get了小雏菊新妆容，秘密试妆地点就在 @深圳海岸城  中庭，9月12日-16日， 来现场喝茶，试妆，一起变美鸭。 14号当天的喜茶专场，还有100份限量礼品等你来领噢。 @Clinique倩碧
66,14,102,182,2018-09-06,#波波冰淇淋#  踩在夏天的尾巴上，要抓紧时间时间吃冰淇淋哟🍦今天起（9.6），上海静安嘉里中心店、广州花城汇北店、深圳南山宝能店、讯美科技GO店，东门1234店、金光华店、惠州华贸店也可以吃到喜茶味儿的冰淇淋啦👏🏻😍
90,9,238,337,2018-09-05,#喜爱夜撩#  我的心该放在哪里？该放在哪里？？（评论有浮力😨😌）
70,8,189,267,2018-09-05,#新品剧透#  凉风度秋海 一杯莫兰迪色的喜茶，是______？
197,79,734,1010,2018-09-01,#月饼包#  眼看又到月饼节，什么？月饼吃腻啦？那要不要尝尝月饼包鸭？🌝喜茶「中秋限定月饼包」明天起各大热麦门店有售。👀一袋两个，包含「咸口蛋黄肉角包」与「甜口蛋黄芋泥包」各一个。🤗照例从评论里抽几个宝宝尝尝。
123,14,231,368,2018-08-31,#深圳新店#  喜茶在深圳的第27家店，来到深圳朋友的集体回忆—海上世界👬以后可以带着喜茶上华轮啦🚢🍵喜茶海上世界店，明天起（9月1日）正式营业🎉9.1-9.3，买一送一。你有在海上世界打过卡吗？聊一聊，评论里抽几个宝宝送赠饮哟😘
161,45,401,607,2018-08-31,#上海新店#  喜茶在上海的第14家店，静安嘉里中心店，明天起（9月1日）正式营业，🎉9.1-9.3，买一送一。将探索禅意的室内空间延伸至室外，营造街区感十足的氛围体验，🧚♀️城中又一处灵感之所，等你来打卡。😊老规矩，评论里抽几个宝宝送赠饮鸭。
135,42,338,515,2018-08-29,#喜爱夜撩#  在雨中漫步，蓝色街灯渐露☔一人给茶茶推荐一首适合在下雨天听的歌吧。Pick几位朋友送出很适合在雨天里喝的「芝芝绿妍」一杯🍵
124,58,446,628,2018-08-29,#冰淇淋包#  今天也是冰淇淋女孩 🍦冰淇淋包你吃了吗 没有的话我请你鸭，评论抽5个宝宝尝尝鲜。（📷Photo by  @UNILOOK ）
138,276,212,626,2018-08-26,#HEYTEA DISCO#  周末舞起来💃🏻多肉葡萄最酷的打开方式🍇大家今天都喝了吗？关➕转，抽5个朋友送出 #多肉葡萄#  一杯（📷来自 @SoWhat搜获东莞   ）
161,44,672,877,2018-08-24,#喜爱夜撩#  我家又没矿，还天天给你们抽奖 走过路过的宝宝们请给本茶来一个爱的鼓励吧 这样我才有动力继续为你们抽大奖鸭！照旧，评论抽几个宝宝送赠饮
119,49,115,283,2018-08-24,#波波冰淇淋#  是谁天天问本茶啥时候可以吃到茶茶的冰淇淋？👇🏻呐，又有更多门店可以吃到茶王冰淇淋了，😋没吃过的小可爱快去尝尝吧~
138,29,335,502,2018-08-23,#冰淇淋包#  包包遇上什么才够特别？蹬蹬噔，答案揭晓——日式酥脆厚菠萝皮面包🍍，夹入自选鲜果冰淇淋球🍧，外热内冰的冰火碰撞，尽在这一口~👉🏻明天起，全新「冰淇淋包」广深喜茶热麦店有售。 （😊评论有浮力）
178,413,309,900,2018-08-22,#HEYTEA DISCO#  迪斯科女王非葡萄女郎莫属 💅🏻💃🏻 和多肉葡萄来一场舌尖上的DISCO吧📻关注➕卷发，抽5个舞王送出「HEYTEA x MUSICANVAS 定制收音机」一台。 @MUSICANVAS   #多肉葡萄#
421,575,391,1387,2018-08-21,🙋🏻♂️明天起，喜茶迪士尼小镇店就要和你们见面啦。走进位于上海迪士尼小镇，你立刻就能发现这栋颇具辨识度的环形建筑，💒童真的粉蓝配色点缀其间，友好地欢迎每一个来此寻梦的你。👉🏻关注+转发，抽5个小可爱，每人一份新店周边。
166,471,328,965,2018-08-20,#喜茶月饼#  举茶邀明月，且喜人间好时节。喜茶2018中秋礼盒现已开始发售。喜茶灵感铺有售 转发+关注，抽5个朋友免费试吃
87,15,66,168,2018-08-19,一家男巫降落过的喜茶，在“世界上最快乐”的地方，即将魔幻启程。
185,428,363,976,2018-08-16,你找到那个让你脸红心跳的人了吗？喜茶君找到啦。喜茶X倩碧 @Clinique倩碧  「七夕联名😚脸红礼盒」上线， 明天下午5点20分，可在喜茶会员积分商城兑换  。👉🏻8.17-8.19，门店还将派发七夕联名杯套，带上喜欢的人，来HEYTEA约茶吧~🙋🏻♂️关注+转发，抽5个小可爱，送出脸红礼盒一个。
145,336,278,759,2018-08-16,#七夕#  马上到惹，听说你去年没收到礼物，今年还是没人给你送礼物 没关系，茶茶宠幸你鸭，关注+卷发，抽5个小可爱送出七夕小礼物一份
261,73,195,529,2018-08-15,七夕为你粉💕，明天起（8月16日-8月17日）到店购买芝士系列茶饮，芝士将免费升级为七夕限定💞「粉芝芝」，使用🌵天然仙人掌果果汁调色，呈现浪漫少女心。👉🏻快来 @ 七夕愿意陪你喝粉芝芝的人吧～
